seed,dataset,word2vec_size,squash,pipeline,words_PRC,words_RCL,words_F,words_HR,words_OS,words_R,phones_PRC,phones_RCL,phones_F,phones_HR,phones_OS,phones_R
290956,LibriSpeech/dev-clean,100,True,200,0.18285,0.51078,0.2693,51.07837,179.35298,-0.7366,0.62207,0.55027,0.58397,55.02737,-11.54087,0.64965
290956,LibriSpeech/dev-clean,100,True,200,0.18285,0.51078,0.2693,51.07837,179.35298,-0.7366,0.62207,0.55027,0.58397,55.02737,-11.54087,0.64965
290956,LibriSpeech/dev-clean,100,True,200-71-15000,0.18794,0.31203,0.23459,31.20292,66.02977,0.04653,0.64337,0.33825,0.44339,33.8247,-47.42548,0.52664
290956,LibriSpeech/train-clean-100,100,True,100,0.12817,0.75722,0.21923,75.7221,490.79041,-3.27799,0.44064,0.82078,0.57343,82.07832,86.27181,0.19105
290956,LibriSpeech/train-clean-100,100,True,200,0.14445,0.677,0.2381,67.69971,368.67584,-2.26811,0.50901,0.75216,0.60715,75.21577,47.76999,0.4744
290956,LibriSpeech/train-clean-100,100,True,500,0.16112,0.60681,0.25463,60.6811,276.62246,-1.51404,0.55702,0.66144,0.60476,66.14358,18.74625,0.62052
290956,LibriSpeech/train-clean-100,100,True,1000,0.17273,0.56167,0.26421,56.1667,225.16169,-1.09798,0.59228,0.60721,0.59965,60.72076,2.52105,0.65541
290956,LibriSpeech/train-clean-100,100,True,2000,0.18142,0.51773,0.26869,51.7729,185.37362,-0.78362,0.61987,0.55774,0.58717,55.77357,-10.02383,0.65233
290956,LibriSpeech/train-clean-100,100,True,5000,0.19074,0.4684,0.27109,46.83974,145.56704,-0.47746,0.64358,0.49829,0.56169,49.82915,-22.57454,0.62735
290956,LibriSpeech/train-clean-100,100,True,10000,0.19839,0.43954,0.27339,43.95389,121.55281,-0.29717,0.65767,0.45941,0.54095,45.94113,-30.14605,0.60597
290956,LibriSpeech/train-clean-100,100,True,20000,0.20585,0.41476,0.27514,41.47564,101.48555,-0.15148,0.66752,0.42405,0.51863,42.4054,-36.47311,0.58446
290956,LibriSpeech/train-clean-100,100,True,33790,0.21298,0.40108,0.27822,40.10763,88.31613,-0.05754,0.6735,0.39989,0.50182,39.98863,-40.62533,0.56911
290956,LibriSpeech/train-clean-100,100,True,50000,0.21835,0.39158,0.28036,39.15814,79.33563,0.0045,0.67587,0.38216,0.48825,38.21596,-43.45681,0.55752
290956,LibriSpeech/train-clean-100,100,True,100000,0.22701,0.37103,0.28168,37.10272,63.43951,0.10666,0.67641,0.34856,0.46005,34.85632,-48.46874,0.53506
290956,LibriSpeech/train-clean-100,100,True,200-50-10000,0.21083,0.32544,0.25589,32.54418,54.36007,0.13615,0.68472,0.33324,0.4483,33.32423,-51.33142,0.52502
290956,LibriSpeech/train-clean-100,100,True,200-50-12500,0.21172,0.31839,0.25432,31.83925,50.38502,0.15707,0.68586,0.3252,0.4412,32.52012,-52.58472,0.51959
290956,LibriSpeech/train-clean-100,100,True,200-50-50000,0.21443,0.27938,0.24263,27.93794,30.29095,0.24728,0.68846,0.28282,0.40094,28.2818,-58.92023,0.49066
290956,LibriSpeech/train-clean-100,100,True,200-100-50000,0.15828,0.49354,0.23969,49.3535,211.81926,-1.01691,0.5588,0.54938,0.55405,54.93823,-1.68572,0.62118
290956,LibriSpeech/train-clean-100,100,True,100-50-50000,0.21451,0.30654,0.2524,30.65424,42.90579,0.1954,0.67692,0.305,0.42052,30.50029,-54.94287,0.50556
290956,LibriSpeech/train-clean-100,100,True,100-50-100,0.15488,0.60505,0.24663,60.50521,290.66584,-1.63398,0.53773,0.66235,0.59357,66.23482,23.17403,0.59393
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100,0.16122,0.49799,0.24358,49.79899,208.89383,-0.99024,0.56431,0.5496,0.55686,54.95953,-2.60808,0.6244
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100,0.16314,0.43605,0.23744,43.60463,167.27849,-0.67345,0.57718,0.4864,0.52792,48.63973,-15.72909,0.60545
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100,0.17615,0.31222,0.22523,31.22201,77.2495,-0.03344,0.58543,0.32717,0.41976,32.71699,-44.11455,0.51581
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100,0.17547,0.24851,0.2057,24.85134,41.6287,0.15759,0.57202,0.25543,0.35316,25.54332,-55.34553,0.46856
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100-50-100,0.17845,0.22087,0.19741,22.08717,23.77314,0.23319,0.56747,0.22145,0.31858,22.14546,-60.97525,0.44587
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.17786,0.19162,0.18448,19.16242,7.73893,0.2808,0.55672,0.18911,0.28232,18.91129,-66.03072,0.4239
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.17227,0.15499,0.16317,15.49925,-10.02995,0.31124,0.53611,0.15208,0.23695,15.20765,-71.63312,0.39847
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.16827,0.1331,0.14863,13.31038,-20.89718,0.32152,0.52814,0.13172,0.21085,13.17212,-75.05947,0.38452
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.16284,0.11,0.1313,11.00042,-32.44642,0.32641,0.50613,0.1078,0.17774,10.78014,-78.70086,0.36796
290956,LibriSpeech/train-clean-100,100,True,100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100-50-100,0.16412,0.10287,0.12647,10.28737,-37.31802,0.32893,0.50931,0.10066,0.1681,10.06553,-80.23684,0.36309
290956,LibriSpeech/train-clean-100,100,True,200-50-200,0.17186,0.50389,0.2563,50.38908,193.19991,-0.85581,0.58717,0.5428,0.56411,54.2799,-7.55626,0.63337
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200,0.18615,0.4286,0.25957,42.86004,130.2403,-0.37361,0.62462,0.45343,0.52543,45.34287,-27.40695,0.59794
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200,0.19415,0.36367,0.25315,36.36734,87.31421,-0.07388,0.64688,0.38204,0.48038,38.20373,-40.94123,0.55563
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200,0.1896,0.19343,0.1915,19.34263,2.02025,0.30428,0.62023,0.1995,0.30189,19.95033,-67.83378,0.43218
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200,0.19339,0.15288,0.17077,15.2875,-20.94961,0.33824,0.618,0.15403,0.2466,15.40311,-75.076,0.40081
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200,0.18967,0.11137,0.14034,11.1369,-41.28342,0.34186,0.6011,0.11128,0.18779,11.12816,-81.4871,0.37102
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.19054,0.09787,0.12932,9.787,-48.63589,0.34056,0.60905,0.09863,0.16977,9.8634,-83.80528,0.36223
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.18966,0.08379,0.11623,8.379,-55.8199,0.33699,0.60979,0.08494,0.14911,8.49417,-86.07035,0.35266
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.18931,0.07344,0.10583,7.34443,-61.2032,0.33358,0.61289,0.07497,0.1336,7.49707,-87.76766,0.34569
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.18745,0.06204,0.09323,6.20408,-66.90362,0.32886,0.6051,0.06314,0.11435,6.31423,-89.56496,0.33738
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.18911,0.05823,0.08904,5.82278,-69.21037,0.32736,0.60983,0.0592,0.10792,5.92011,-90.29226,0.33462
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.19113,0.05361,0.08373,5.36063,-71.95238,0.32536,0.61777,0.05463,0.10038,5.46308,-91.15679,0.33141
290956,LibriSpeech/train-clean-100,100,True,200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200-50-200,0.19422,0.05079,0.08052,5.07903,-73.84908,0.32417,0.62769,0.05175,0.09562,5.17545,-91.75481,0.3294
