seed,dataset,word2vec_size,squash,pipeline,words_PRC,words_RCL,words_F,words_HR,words_OS,words_R,phones_PRC,phones_RCL,phones_F,phones_HR,phones_OS,phones_R
290956,LibriSpeech/train-clean-100,100,False,200,0.08545,0.96673,0.15702,96.67348,1031.33778,-7.81481,0.27459,0.97946,0.42893,97.94594,256.70236,-1.19839
290956,LibriSpeech/train-clean-100,100,False,500,0.10935,0.88832,0.19473,88.83164,712.37577,-5.12043,0.35917,0.91998,0.51664,91.99754,156.13602,-0.36202
290956,LibriSpeech/train-clean-100,100,False,1000,0.12135,0.84589,0.21225,84.58878,597.05851,-4.15169,0.4004,0.88,0.55038,87.99973,119.77735,-0.06779
290956,LibriSpeech/train-clean-100,100,False,2000,0.1324,0.80995,0.2276,80.99478,511.73097,-3.43685,0.44101,0.8506,0.58086,85.05999,92.87421,0.14848
290956,LibriSpeech/train-clean-100,100,False,5000,0.14569,0.75589,0.24429,75.58942,418.83008,-2.6648,0.49328,0.80693,0.61227,80.69309,63.58325,0.37469
290956,LibriSpeech/train-clean-100,100,False,10000,0.15424,0.71763,0.25391,71.76278,365.26239,-2.22299,0.52507,0.77024,0.62445,77.024,46.69376,0.49348
290956,LibriSpeech/train-clean-100,100,False,20000,0.16075,0.67976,0.26001,67.9764,322.87049,-1.87701,0.54942,0.73253,0.6279,73.25263,33.32791,0.57393
290956,LibriSpeech/train-clean-100,100,False,50000,0.16828,0.63373,0.26594,63.37254,276.57992,-1.50233,0.57283,0.68014,0.62189,68.01423,18.73284,0.63534
290956,LibriSpeech/train-clean-100,100,True,200,0.14426,0.67582,0.23777,67.58174,368.46908,-2.26681,0.50898,0.75179,0.607,75.17871,47.7048,0.4747
290956,LibriSpeech/train-clean-100,100,True,500,0.16237,0.61191,0.25664,61.19119,276.8611,-1.5139,0.55813,0.66318,0.60614,66.31809,18.82149,0.62145
290956,LibriSpeech/train-clean-100,100,True,1000,0.17433,0.56737,0.26671,56.73667,225.45631,-1.09792,0.5934,0.60891,0.60105,60.89111,2.61395,0.65651
290956,LibriSpeech/train-clean-100,100,True,2000,0.18362,0.52486,0.27206,52.48603,185.83661,-0.78409,0.6214,0.56002,0.58912,56.0018,-9.87785,0.6539
290956,LibriSpeech/train-clean-100,100,True,5000,0.19379,0.47715,0.27563,47.71549,146.22098,-0.47826,0.64542,0.50105,0.56415,50.10526,-22.36836,0.62928
290956,LibriSpeech/train-clean-100,100,True,10000,0.20132,0.44722,0.27765,44.72182,122.14713,-0.29766,0.65932,0.4618,0.54316,46.17965,-29.95867,0.60765
290956,LibriSpeech/train-clean-100,100,True,20000,0.20899,0.42251,0.27965,42.25075,102.1695,-0.1522,0.66907,0.42648,0.52092,42.64806,-36.25746,0.58616
290956,LibriSpeech/train-clean-100,100,True,50000,0.22163,0.39929,0.28504,39.92878,80.15861,0.00336,0.67715,0.38464,0.4906,38.46379,-43.19733,0.55924
